AUTHOR_ID,AUTHOR_NAME
AU048,Adam J. Kurtz
AU049,Adam Kay
AU050,Alan Stein
AU051,Amantha Imber
AU052,Amy Cuddy
AU053,Amy Leigh Mercree
AU054,Anna Claybourne
AU055,Anne Frank
AU056,Antoine de Saint-Exupery
AU057,Ben Aaronovitch
AU058,Ben Ramalingam
AU059,Bev Aisbett
AU060,Brown Watson
AU061,Carol Vorderman
AU062,Catherine Hughes
AU063,Chade Meng Tan
AU064,Charles Duhigg
AU065,Chip Heath
AU066,Christopher Paolini
AU067,Christopher See
AU068,Chuck Wendig
AU069,DK
AU070,Dan Bigham
AU071,Daniel H. Pink
AU072,Danielle L Jensen
AU073,Dr Sanjay Gupta
AU074,Dr Seuss
AU075,E B White
AU076,Edward Zrudio
AU077,Edward de Bono
AU078,Emily A. Duncan
AU079,Eoin Colfer
AU080,Erich Fromm
AU081,Frances Hodgson Burnett
AU082,Frank Herbert
AU083,Frank Lipman
AU084,Gary John Bishop
AU085,Geraldine Taylor
AU086,Glenn Lutz
AU087,Ian Johnstone
AU088,Igloo Books
AU089,J K Rowling
AU090,J. K. Rowling
AU091,J. R. R. Tolkien
AU092,J.K. Rowling
AU093,Jack Canfield
AU094,James Clear
AU095,James Haskell
AU096,Jane Austen
AU097,Jeff Kinney
AU098,Jen Calonita
AU099,Jennifer Dussling
AU100,Jerome Martin
AU101,Jessica Greenwell
AU102,Jo Hemmings
AU103,Joan He
AU104,Joanna Faber
AU105,Johann Hari
AU106,John Boyne
AU107,John C Maxwell
AU108,John Howe
AU109,John Kotter
AU110,Jon Richards
AU111,Judd Winick
AU112,Judy I. Lin
AU113,Kay Woodward
AU114,L M Montgomery
AU115,Lake Press
AU116,Leigh Bardugo
AU117,Lewis Carroll
AU118,Luke Pearson
AU119,Maggie Smith
AU120,Marc Chernoff
AU121,Margaret Rogerson
AU122,Marie Crook
AU123,Marie Kondo
AU124,Marie Lu
AU125,Meredith Rusu
AU126,Michael Bungay Stanier
AU127,Mo Sanders
AU128,Neil Gaiman
AU129,Nick Vujicic
AU130,North Parade
AU131,North Parade Publishing
AU132,P.G. Bell
AU133,Parragon
AU134,Paul McKenna
AU135,Penguin
AU136,R. J. Palacio
AU137,Rebecca Yarros
AU138,Rick Riordan
AU139,Roald Dahl
AU140,Rob Hobson
AU141,Robert M Pirsig
AU142,Robert Waldinger
AU143,Ron Roy
AU144,Roshani Chokshi
AU145,Russell Punter
AU146,Ryan Serhant
AU147,Samantha Shannon
AU148,Santis O’Garro
AU149,Sarah J. Maas
AU150,Sean Covey
AU151,Shannon Hale
AU152,Sherman Alexie
AU153,Sosuke Natsukawa
AU154,Spencer Johnson
AU155,Steven Johnson
AU156,Susan Cain
AU157,Susan Purcell
AU158,Terrence Sejnowski
AU159,Thomas Erikson
AU160,Tiwalola Ogunlesi
AU161,Tony Fadell
AU162,Tracey Turner
AU163,Tô Hoài
AU164,Veronica Roth
AU165,Will Storr
AU166,A. K. Larkwood
