DIST_ID,PROV_ID,DIST_NAME
DT00001,PR001,Quận Ba Đình
DT00002,PR001,Quận Hoàn Kiếm
DT00003,PR001,Quận Tây Hồ
DT00004,PR001,Quận Long Biên
DT00005,PR001,Quận Cầu Giấy
DT00006,PR001,Quận Đống Đa
DT00007,PR001,Quận Hai Bà Trưng
DT00008,PR001,Quận Hoàng Mai
DT00009,PR001,Quận Thanh Xuân
DT00016,PR001,Huyện Sóc Sơn
DT00017,PR001,Huyện Đông Anh
DT00018,PR001,Huyện Gia Lâm
DT00019,PR001,Quận Nam Từ Liêm
DT00020,PR001,Huyện Thanh Trì
DT00021,PR001,Quận Bắc Từ Liêm
DT00250,PR001,Huyện Mê Linh
DT00268,PR001,Quận Hà Đông
DT00269,PR001,Thị xã Sơn Tây
DT00271,PR001,Huyện Ba Vì
DT00272,PR001,Huyện Phúc Thọ
DT00273,PR001,Huyện Đan Phượng
DT00274,PR001,Huyện Hoài Đức
DT00275,PR001,Huyện Quốc Oai
DT00276,PR001,Huyện Thạch Thất
DT00277,PR001,Huyện Chương Mỹ
DT00278,PR001,Huyện Thanh Oai
DT00279,PR001,Huyện Thường Tín
DT00280,PR001,Huyện Phú Xuyên
DT00281,PR001,Huyện Ứng Hòa
DT00282,PR001,Huyện Mỹ Đức
DT00024,PR002,Thành phố Hà Giang
DT00026,PR002,Huyện Đồng Văn
DT00027,PR002,Huyện Mèo Vạc
DT00028,PR002,Huyện Yên Minh
DT00029,PR002,Huyện Quản Bạ
DT00030,PR002,Huyện Vị Xuyên
DT00031,PR002,Huyện Bắc Mê
DT00032,PR002,Huyện Hoàng Su Phì
DT00033,PR002,Huyện Xín Mần
DT00034,PR002,Huyện Bắc Quang
DT00035,PR002,Huyện Quang Bình
DT00040,PR004,Thành phố Cao Bằng
DT00042,PR004,Huyện Bảo Lâm
DT00043,PR004,Huyện Bảo Lạc
DT00045,PR004,Huyện Hà Quảng
DT00047,PR004,Huyện Trùng Khánh
DT00048,PR004,Huyện Hạ Lang
DT00049,PR004,Huyện Quảng Hòa
DT00051,PR004,Huyện Hoà An
DT00052,PR004,Huyện Nguyên Bình
DT00053,PR004,Huyện Thạch An
DT00058,PR006,Thành Phố Bắc Kạn
DT00060,PR006,Huyện Pác Nặm
DT00061,PR006,Huyện Ba Bể
DT00062,PR006,Huyện Ngân Sơn
DT00063,PR006,Huyện Bạch Thông
DT00064,PR006,Huyện Chợ Đồn
DT00065,PR006,Huyện Chợ Mới
DT00066,PR006,Huyện Na Rì
DT00070,PR008,Thành phố Tuyên Quang
DT00071,PR008,Huyện Lâm Bình
DT00072,PR008,Huyện Na Hang
DT00073,PR008,Huyện Chiêm Hóa
DT00074,PR008,Huyện Hàm Yên
DT00075,PR008,Huyện Yên Sơn
DT00076,PR008,Huyện Sơn Dương
DT00080,PR010,Thành phố Lào Cai
DT00082,PR010,Huyện Bát Xát
DT00083,PR010,Huyện Mường Khương
DT00084,PR010,Huyện Si Ma Cai
DT00085,PR010,Huyện Bắc Hà
DT00086,PR010,Huyện Bảo Thắng
DT00087,PR010,Huyện Bảo Yên
DT00088,PR010,Thị xã Sa Pa
DT00089,PR010,Huyện Văn Bàn
DT00094,PR011,Thành phố Điện Biên Phủ
DT00095,PR011,Thị Xã Mường Lay
DT00096,PR011,Huyện Mường Nhé
DT00097,PR011,Huyện Mường Chà
DT00098,PR011,Huyện Tủa Chùa
DT00099,PR011,Huyện Tuần Giáo
DT00100,PR011,Huyện Điện Biên
DT00101,PR011,Huyện Điện Biên Đông
DT00102,PR011,Huyện Mường Ảng
DT00103,PR011,Huyện Nậm Pồ
DT00105,PR012,Thành phố Lai Châu
DT00106,PR012,Huyện Tam Đường
DT00107,PR012,Huyện Mường Tè
DT00108,PR012,Huyện Sìn Hồ
DT00109,PR012,Huyện Phong Thổ
DT00110,PR012,Huyện Than Uyên
DT00111,PR012,Huyện Tân Uyên
DT00112,PR012,Huyện Nậm Nhùn
DT00116,PR014,Thành phố Sơn La
DT00118,PR014,Huyện Quỳnh Nhai
DT00119,PR014,Huyện Thuận Châu
DT00120,PR014,Huyện Mường La
DT00121,PR014,Huyện Bắc Yên
DT00122,PR014,Huyện Phù Yên
DT00123,PR014,Huyện Mộc Châu
DT00124,PR014,Huyện Yên Châu
DT00125,PR014,Huyện Mai Sơn
DT00126,PR014,Huyện Sông Mã
DT00127,PR014,Huyện Sốp Cộp
DT00128,PR014,Huyện Vân Hồ
DT00132,PR015,Thành phố Yên Bái
DT00133,PR015,Thị xã Nghĩa Lộ
DT00135,PR015,Huyện Lục Yên
DT00136,PR015,Huyện Văn Yên
DT00137,PR015,Huyện Mù Căng Chải
DT00138,PR015,Huyện Trấn Yên
DT00139,PR015,Huyện Trạm Tấu
DT00140,PR015,Huyện Văn Chấn
DT00141,PR015,Huyện Yên Bình
DT00148,PR017,Thành phố Hòa Bình
DT00150,PR017,Huyện Đà Bắc
DT00152,PR017,Huyện Lương Sơn
DT00153,PR017,Huyện Kim Bôi
DT00154,PR017,Huyện Cao Phong
DT00155,PR017,Huyện Tân Lạc
DT00156,PR017,Huyện Mai Châu
DT00157,PR017,Huyện Lạc Sơn
DT00158,PR017,Huyện Yên Thủy
DT00159,PR017,Huyện Lạc Thủy
DT00164,PR019,Thành phố Thái Nguyên
DT00165,PR019,Thành phố Sông Công
DT00167,PR019,Huyện Định Hóa
DT00168,PR019,Huyện Phú Lương
DT00169,PR019,Huyện Đồng Hỷ
DT00170,PR019,Huyện Võ Nhai
DT00171,PR019,Huyện Đại Từ
DT00172,PR019,Thành phố Phổ Yên
DT00173,PR019,Huyện Phú Bình
DT00178,PR020,Thành phố Lạng Sơn
DT00180,PR020,Huyện Tràng Định
DT00181,PR020,Huyện Bình Gia
DT00182,PR020,Huyện Văn Lãng
DT00183,PR020,Huyện Cao Lộc
DT00184,PR020,Huyện Văn Quan
DT00185,PR020,Huyện Bắc Sơn
DT00186,PR020,Huyện Hữu Lũng
DT00187,PR020,Huyện Chi Lăng
DT00188,PR020,Huyện Lộc Bình
DT00189,PR020,Huyện Đình Lập
DT00193,PR022,Thành phố Hạ Long
DT00194,PR022,Thành phố Móng Cái
DT00195,PR022,Thành phố Cẩm Phả
DT00196,PR022,Thành phố Uông Bí
DT00198,PR022,Huyện Bình Liêu
DT00199,PR022,Huyện Tiên Yên
DT00200,PR022,Huyện Đầm Hà
DT00201,PR022,Huyện Hải Hà
DT00202,PR022,Huyện Ba Chẽ
DT00203,PR022,Huyện Vân Đồn
DT00205,PR022,Thị xã Đông Triều
DT00206,PR022,Thị xã Quảng Yên
DT00207,PR022,Huyện Cô Tô
DT00213,PR024,Thành phố Bắc Giang
DT00215,PR024,Huyện Yên Thế
DT00216,PR024,Huyện Tân Yên
DT00217,PR024,Huyện Lạng Giang
DT00218,PR024,Huyện Lục Nam
DT00219,PR024,Huyện Lục Ngạn
DT00220,PR024,Huyện Sơn Động
DT00221,PR024,Huyện Yên Dũng
DT00222,PR024,Huyện Việt Yên
DT00223,PR024,Huyện Hiệp Hòa
DT00227,PR025,Thành phố Việt Trì
DT00228,PR025,Thị xã Phú Thọ
DT00230,PR025,Huyện Đoan Hùng
DT00231,PR025,Huyện Hạ Hoà
DT00232,PR025,Huyện Thanh Ba
DT00233,PR025,Huyện Phù Ninh
DT00234,PR025,Huyện Yên Lập
DT00235,PR025,Huyện Cẩm Khê
DT00236,PR025,Huyện Tam Nông
DT00237,PR025,Huyện Lâm Thao
DT00238,PR025,Huyện Thanh Sơn
DT00239,PR025,Huyện Thanh Thuỷ
DT00240,PR025,Huyện Tân Sơn
DT00243,PR026,Thành phố Vĩnh Yên
