PROV_ID,PROV_NAME
PR001,Thành phố Hà Nội
PR002,Tỉnh Hà Giang
PR004,Tỉnh Cao Bằng
PR006,Tỉnh Bắc Kạn
PR008,Tỉnh Tuyên Quang
PR010,Tỉnh Lào Cai
PR011,Tỉnh Điện Biên
PR012,Tỉnh Lai Châu
PR014,Tỉnh Sơn La
PR015,Tỉnh Yên Bái
PR017,Tỉnh Hoà Bình
PR019,Tỉnh Thái Nguyên
PR020,Tỉnh Lạng Sơn
PR022,Tỉnh Quảng Ninh
PR024,Tỉnh Bắc Giang
PR025,Tỉnh Phú Thọ
PR026,Tỉnh Vĩnh Phúc
PR027,Tỉnh Bắc Ninh
PR030,Tỉnh Hải Dương
PR031,Thành phố Hải Phòng
PR033,Tỉnh Hưng Yên
PR034,Tỉnh Thái Bình
PR035,Tỉnh Hà Nam
PR036,Tỉnh Nam Định
PR037,Tỉnh Ninh Bình
PR038,Tỉnh Thanh Hóa
PR040,Tỉnh Nghệ An
PR042,Tỉnh Hà Tĩnh
PR044,Tỉnh Quảng Bình
PR045,Tỉnh Quảng Trị
PR046,Tỉnh Thừa Thiên Huế
PR048,Thành phố Đà Nẵng
PR049,Tỉnh Quảng Nam
PR051,Tỉnh Quảng Ngãi
PR052,Tỉnh Bình Định
PR054,Tỉnh Phú Yên
PR056,Tỉnh Khánh Hòa
PR058,Tỉnh Ninh Thuận
PR060,Tỉnh Bình Thuận
PR062,Tỉnh Kon Tum
PR064,Tỉnh Gia Lai
PR066,Tỉnh Đắk Lắk
PR067,Tỉnh Đắk Nông
PR068,Tỉnh Lâm Đồng
PR070,Tỉnh Bình Phước
PR072,Tỉnh Tây Ninh
PR074,Tỉnh Bình Dương
PR075,Tỉnh Đồng Nai
PR077,Tỉnh Bà Rịa - Vũng Tàu
PR079,Thành phố Hồ Chí Minh
PR080,Tỉnh Long An
PR082,Tỉnh Tiền Giang
PR083,Tỉnh Bến Tre
PR084,Tỉnh Trà Vinh
PR086,Tỉnh Vĩnh Long
PR087,Tỉnh Đồng Tháp
PR089,Tỉnh An Giang
PR091,Tỉnh Kiên Giang
PR092,Thành phố Cần Thơ
PR093,Tỉnh Hậu Giang
PR094,Tỉnh Sóc Trăng
PR095,Tỉnh Bạc Liêu
PR096,Tỉnh Cà Mau
