PUB_ID,PUB_NAME
PB012,Ace Books
PB013,Adams Media Corporation
PB014,Autumn
PB015,Autumn Publishing
PB016,Bantam
PB017,Bantam Books (Transworld Publishers a division of the Random House Group)
PB018,Bantam Press
PB019,Bloomsbury
PB020,Bloomsbury Children's Books
PB021,Bloomsbury Publishing
PB022,Bloomsbury Publishing PLC
PB023,Bright Matter Books
PB024,Brown Watson
PB025,Center Street
PB026,Chicken Soup for the Soul Publishing
PB027,Crown Publishing
PB028,DK Children
PB029,Da Capo Press Inc
PB030,Definitions
PB031,Dorling Kindersley Ltd
PB032,E.Future
PB033,Ebury Edge
PB034,Feiwel & Friends
PB035,First Second
PB036,Flatiron Books
PB037,Flying Eye Books
PB038,Golden Books Publishing Company
PB039,Gollancz
PB040,Grosset & Dunlap
PB041,HQ
PB042,Hachette Children's Group
PB043,Hachette Go
PB044,Harper Perennial Modern Classics
PB045,Harper Thorsons
PB046,HarperCollins
PB047,HarperCollins Publishers
PB048,HarperCollinsIreland
PB049,HarperOne
PB050,Headline
PB051,Hodder Paperback
PB052,J.P.Tarcher
PB053,Kogan Page
PB054,Lake Press
PB055,Little
PB056,Macmillan Children's Books
PB057,Margaret K Mcelderry Books
PB058,Mariner Books
PB059,Miles Kelly Publishing Ltd
PB060,NXB Kim Đồng
PB061,National Geographic Kids
PB062,North Parade
PB063,North Parade Publishing
PB064,Orion Children's Books
PB065,Page Two Books
PB066,Pan MacMillan
PB067,Parragon
PB068,Parragon Book Service Ltd
PB069,Pearson
PB070,Penguin
PB071,Penguin Books Ltd
PB072,Penguin Books UK
PB073,Penguin Books Uk
PB074,Penguin Random House Children's UK
PB075,Penguin Young Readers
PB076,Penguin Young Readers Group
PB077,Penguin Young Readers Licenses
PB078,Piatkus
PB079,Puffin
PB080,Puffin Books
PB081,Puffin Classics
PB082,RANDOM HOUSE BUSINESS BOOKS
PB083,Random House
PB084,Random House Books
PB085,Random House Children's s UK
PB086,Random House UK
PB087,Rider
PB088,Riverhead Books
PB089,Roaring Brook
PB090,Scholastic US
PB091,Scribner
PB092,Simon & Schuster
PB093,St. Martin's Press
PB094,Sterling
PB095,TarcherPerigee
PB096,Tarcherperigee
PB097,Tor Books
PB098,Usborne
PB099,Usborne Publishing
PB0100,Vermilion
PB0101,Vintage Publishing
PB0102,WaterBrook
PB0103,Wednesday Books
PB0104,Welbeck
PB0105,William Collins
PB0106,William Morrow
