WARD_ID,DIST_ID,WARD_NAME
WD0000001,DT00001,Phường Phúc Xá
WD0000004,DT00001,Phường Trúc Bạch
WD0000006,DT00001,Phường Vĩnh Phúc
WD0000007,DT00001,Phường Cống Vị
WD0000008,DT00001,Phường Liễu Giai
WD0000010,DT00001,Phường Nguyễn Trung Trực
WD0000013,DT00001,Phường Quán Thánh
WD0000016,DT00001,Phường Ngọc Hà
WD0000019,DT00001,Phường Điện Biên
WD0000022,DT00001,Phường Đội Cấn
WD0000025,DT00001,Phường Ngọc Khánh
WD0000028,DT00001,Phường Kim Mã
WD0000031,DT00001,Phường Giảng Võ
WD0000034,DT00001,Phường Thành Công
WD0000037,DT00002,Phường Phúc Tân
WD0000040,DT00002,Phường Đồng Xuân
WD0000043,DT00002,Phường Hàng Mã
WD0000046,DT00002,Phường Hàng Buồm
WD0000049,DT00002,Phường Hàng Đào
WD0000052,DT00002,Phường Hàng Bồ
WD0000055,DT00002,Phường Cửa Đông
WD0000058,DT00002,Phường Lý Thái Tổ
WD0000061,DT00002,Phường Hàng Bạc
WD0000064,DT00002,Phường Hàng Gai
WD0000067,DT00002,Phường Chương Dương
WD0000070,DT00002,Phường Hàng Trống
WD0000073,DT00002,Phường Cửa Nam
WD0000076,DT00002,Phường Hàng Bông
WD0000079,DT00002,Phường Tràng Tiền
WD0000082,DT00002,Phường Trần Hưng Đạo
WD0000085,DT00002,Phường Phan Chu Trinh
WD0000088,DT00002,Phường Hàng Bài
WD0000091,DT00003,Phường Phú Thượng
WD0000094,DT00003,Phường Nhật Tân
WD0000097,DT00003,Phường Tứ Liên
WD0000100,DT00003,Phường Quảng An
WD0000103,DT00003,Phường Xuân La
WD0000106,DT00003,Phường Yên Phụ
WD0000109,DT00003,Phường Bưởi
WD0000112,DT00003,Phường Thụy Khuê
WD0000115,DT00004,Phường Thượng Thanh
WD0000118,DT00004,Phường Ngọc Thụy
WD0000121,DT00004,Phường Giang Biên
WD0000124,DT00004,Phường Đức Giang
WD0000127,DT00004,Phường Việt Hưng
WD0000130,DT00004,Phường Gia Thụy
WD0000133,DT00004,Phường Ngọc Lâm
WD0000136,DT00004,Phường Phúc Lợi
WD0000139,DT00004,Phường Bồ Đề
WD0000142,DT00004,Phường Sài Đồng
WD0000145,DT00004,Phường Long Biên
WD0000148,DT00004,Phường Thạch Bàn
WD0000151,DT00004,Phường Phúc Đồng
WD0000154,DT00004,Phường Cự Khối
WD0000157,DT00005,Phường Nghĩa Đô
WD0000160,DT00005,Phường Nghĩa Tân
WD0000163,DT00005,Phường Mai Dịch
